id,model,make
1,'chevrolet','chevrolet chevelle malibu'
2,'buick','buick skylark 320'
3,'plymouth','plymouth satellite'
4,'amc','amc rebel sst'
5,'ford','ford torino'
6,'ford','ford galaxie 500'
7,'chevrolet','chevrolet impala'
8,'plymouth','plymouth fury iii'
9,'pontiac','pontiac catalina'
10,'amc','amc ambassador dpl'
11,'citroen','citroen ds-21 pallas'
12,'chevrolet','chevrolet chevelle concours (sw)'
13,'ford','ford torino (sw)'
14,'plymouth','plymouth satellite (sw)'
15,'amc','amc rebel sst (sw)'
16,'dodge','dodge challenger se'
17,'plymouth','plymouth cuda 340'
18,'ford','ford mustang boss 302'
19,'chevrolet','chevrolet monte carlo'
20,'buick','buick estate wagon (sw)'
21,'toyota','toyota corona mark ii'
22,'plymouth','plymouth duster'
23,'amc','amc hornet'
24,'ford','ford maverick'
25,'datsun','datsun pl510'
26,'volkswagen','volkswagen 1131 deluxe sedan'
27,'peugeot','peugeot 504'
28,'audi','audi 100 ls'
29,'saab','saab 99e'
30,'bmw','bmw 2002'
31,'amc','amc gremlin'
32,'ford','ford f250'
33,'chevrolet','chevy c20'
34,'dodge','dodge d200'
35,'hi','hi 1200d'
36,'datsun','datsun pl510'
37,'chevrolet','chevrolet vega 2300'
38,'toyota','toyota corona'
39,'ford','ford pinto'
40,'volkswagen','volkswagen super beetle 117'
41,'amc','amc gremlin'
42,'plymouth','plymouth satellite custom'
43,'chevrolet','chevrolet chevelle malibu'
44,'ford','ford torino 500'
45,'amc','amc matador'
46,'chevrolet','chevrolet impala'
47,'pontiac','pontiac catalina brougham'
48,'ford','ford galaxie 500'
49,'plymouth','plymouth fury iii'
50,'dodge','dodge monaco (sw)'
51,'ford','ford country squire (sw)'
52,'pontiac','pontiac safari (sw)'
53,'amc','amc hornet sportabout (sw)'
54,'chevrolet','chevrolet vega (sw)'
55,'pontiac','pontiac firebird'
56,'ford','ford mustang'
57,'mercury','mercury capri 2000'
58,'opel','opel 1900'
59,'peugeot','peugeot 304'
60,'fiat','fiat 124b'
61,'toyota','toyota corolla 1200'
62,'datsun','datsun 1200'
63,'volkswagen','volkswagen model 111'
64,'plymouth','plymouth cricket'
65,'toyota','toyota corona hardtop'
66,'dodge','dodge colt hardtop'
67,'volkswagen','volkswagen type 3'
68,'chevrolet','chevrolet vega'
69,'ford','ford pinto runabout'
70,'chevrolet','chevrolet impala'
71,'pontiac','pontiac catalina'
72,'plymouth','plymouth fury iii'
73,'ford','ford galaxie 500'
74,'amc','amc ambassador sst'
75,'mercury','mercury marquis'
76,'buick','buick lesabre custom'
77,'oldsmobile','oldsmobile delta 88 royale'
78,'chrysler','chrysler newport royal'
79,'mazda','mazda rx2 coupe'
80,'amc','amc matador (sw)'
81,'chevrolet','chevrolet chevelle concours (sw)'
82,'ford','ford gran torino (sw)'
83,'plymouth','plymouth satellite custom (sw)'
84,'volvo','volvo 145e (sw)'
85,'volkswagen','volkswagen 411 (sw)'
86,'peugeot','peugeot 504 (sw)'
87,'renault','renault 12 (sw)'
88,'ford','ford pinto (sw)'
89,'datsun','datsun 510 (sw)'
90,'toyota','toyota corona mark ii (sw)'
91,'dodge','dodge colt (sw)'
92,'toyota','toyota corolla 1600 (sw)'
93,'buick','buick century 350'
94,'amc','amc matador'
95,'chevrolet','chevrolet malibu'
96,'ford','ford gran torino'
97,'dodge','dodge coronet custom'
98,'mercury','mercury marquis brougham'
99,'chevrolet','chevrolet caprice classic'
100,'ford','ford ltd'
101,'plymouth','plymouth fury gran sedan'
102,'chrysler','chrysler new yorker brougham'
103,'buick','buick electra 225 custom'
104,'amc','amc ambassador brougham'
105,'plymouth','plymouth valiant'
106,'chevrolet','chevrolet nova custom'
107,'amc','amc hornet'
108,'ford','ford maverick'
109,'plymouth','plymouth duster'
110,'volkswagen','volkswagen super beetle'
111,'chevrolet','chevrolet impala'
112,'ford','ford country'
113,'plymouth','plymouth custom suburb'
114,'oldsmobile','oldsmobile vista cruiser'
115,'amc','amc gremlin'
116,'toyota','toyota carina'
117,'chevrolet','chevrolet vega'
118,'datsun','datsun 610'
119,'mazda','mazda rx3'
120,'ford','ford pinto'
121,'mercury','mercury capri v6'
122,'fiat','fiat 124 sport coupe'
123,'chevrolet','chevrolet monte carlo s'
124,'pontiac','pontiac grand prix'
125,'fiat','fiat 128'
126,'opel','opel manta'
127,'audi','audi 100ls'
128,'volvo','volvo 144ea'
129,'dodge','dodge dart custom'
130,'saab','saab 99le'
131,'toyota','toyota mark ii'
132,'oldsmobile','oldsmobile omega'
133,'plymouth','plymouth duster'
134,'ford','ford maverick'
135,'amc','amc hornet'
136,'chevrolet','chevrolet nova'
137,'datsun','datsun b210'
138,'ford','ford pinto'
139,'toyota','toyota corolla 1200'
140,'chevrolet','chevrolet vega'
141,'chevrolet','chevrolet chevelle malibu classic'
142,'amc','amc matador'
143,'plymouth','plymouth satellite sebring'
144,'ford','ford gran torino'
145,'buick','buick century luxus (sw)'
146,'dodge','dodge coronet custom (sw)'
147,'ford','ford gran torino (sw)'
148,'amc','amc matador (sw)'
149,'audi','audi fox'
150,'volkswagen','volkswagen dasher'
151,'opel','opel manta'
152,'toyota','toyota corona'
153,'datsun','datsun 710'
154,'dodge','dodge colt'
155,'fiat','fiat 128'
156,'fiat','fiat 124 tc'
157,'honda','honda civic'
158,'subaru','subaru'
159,'fiat','fiat x1.9'
160,'plymouth','plymouth valiant custom'
161,'chevrolet','chevrolet nova'
162,'mercury','mercury monarch'
163,'ford','ford maverick'
164,'pontiac','pontiac catalina'
165,'chevrolet','chevrolet bel air'
166,'plymouth','plymouth grand fury'
167,'ford','ford ltd'
168,'buick','buick century'
169,'chevrolet','chevrolet chevelle malibu'
170,'amc','amc matador'
171,'plymouth','plymouth fury'
172,'buick','buick skyhawk'
173,'chevrolet','chevrolet monza 2+2'
174,'ford','ford mustang ii'
175,'toyota','toyota corolla'
176,'ford','ford pinto'
177,'amc','amc gremlin'
178,'pontiac','pontiac astro'
179,'toyota','toyota corona'
180,'volkswagen','volkswagen dasher'
181,'datsun','datsun 710'
182,'ford','ford pinto'
183,'volkswagen','volkswagen rabbit'
184,'amc','amc pacer'
185,'audi','audi 100ls'
186,'peugeot','peugeot 504'
187,'volvo','volvo 244dl'
188,'saab','saab 99le'
189,'honda','honda civic cvcc'
190,'fiat','fiat 131'
191,'opel','opel 1900'
192,'capri','capri ii'
193,'dodge','dodge colt'
194,'renault','renault 12tl'
195,'chevrolet','chevrolet chevelle malibu classic'
196,'dodge','dodge coronet brougham'
197,'amc','amc matador'
198,'ford','ford gran torino'
199,'plymouth','plymouth valiant'
200,'chevrolet','chevrolet nova'
201,'ford','ford maverick'
202,'amc','amc hornet'
203,'chevrolet','chevrolet chevette'
204,'chevrolet','chevrolet woody'
205,'volkswagen','vw rabbit'
206,'honda','honda civic'
207,'dodge','dodge aspen se'
208,'ford','ford granada ghia'
209,'pontiac','pontiac ventura sj'
210,'amc','amc pacer d/l'
211,'volkswagen','volkswagen rabbit'
212,'datsun','datsun b-210'
213,'toyota','toyota corolla'
214,'ford','ford pinto'
215,'volvo','volvo 245'
216,'plymouth','plymouth volare premier v8'
217,'peugeot','peugeot 504'
218,'toyota','toyota mark ii'
219,'mercedes-benz','mercedes-benz 280s'
220,'cadillac','cadillac seville'
221,'chevrolet','chevy c10'
222,'ford','ford f108'
223,'dodge','dodge d100'
224,'honda','honda accord cvcc'
225,'buick','buick opel isuzu deluxe'
226,'renault','renault 5 gtl'
227,'plymouth','plymouth arrow gs'
228,'datsun','datsun f-10 hatchback'
229,'chevrolet','chevrolet caprice classic'
230,'oldsmobile','oldsmobile cutlass supreme'
231,'dodge','dodge monaco brougham'
232,'mercury','mercury cougar brougham'
233,'chevrolet','chevrolet concours'
234,'buick','buick skylark'
235,'plymouth','plymouth volare custom'
236,'ford','ford granada'
237,'pontiac','pontiac grand prix lj'
238,'chevrolet','chevrolet monte carlo landau'
239,'chrysler','chrysler cordoba'
240,'ford','ford thunderbird'
241,'volkswagen','volkswagen rabbit custom'
242,'pontiac','pontiac sunbird coupe'
243,'toyota','toyota corolla liftback'
244,'ford','ford mustang ii 2+2'
245,'chevrolet','chevrolet chevette'
246,'dodge','dodge colt m/m'
247,'subaru','subaru dl'
248,'volkswagen','volkswagen dasher'
249,'datsun','datsun 810'
250,'bmw','bmw 320i'
251,'mazda','mazda rx-4'
252,'volkswagen','volkswagen rabbit custom diesel'
253,'ford','ford fiesta'
254,'mazda','mazda glc deluxe'
255,'datsun','datsun b210 gx'
256,'honda','honda civic cvcc'
257,'oldsmobile','oldsmobile cutlass salon brougham'
258,'dodge','dodge diplomat'
259,'mercury','mercury monarch ghia'
260,'pontiac','pontiac phoenix lj'
261,'chevrolet','chevrolet malibu'
262,'ford','ford fairmont (auto)'
263,'ford','ford fairmont (man)'
264,'plymouth','plymouth volare'
265,'amc','amc concord'
266,'buick','buick century special'
267,'mercury','mercury zephyr'
268,'dodge','dodge aspen'
269,'amc','amc concord d/l'
270,'chevrolet','chevrolet monte carlo landau'
271,'buick','buick regal sport coupe (turbo)'
272,'ford','ford futura'
273,'dodge','dodge magnum xe'
274,'chevrolet','chevrolet chevette'
275,'toyota','toyota corona'
276,'datsun','datsun 510'
277,'dodge','dodge omni'
278,'toyota','toyota celica gt liftback'
279,'plymouth','plymouth sapporo'
280,'oldsmobile','oldsmobile starfire sx'
281,'datsun','datsun 200-sx'
282,'audi','audi 5000'
283,'volvo','volvo 264gl'
284,'saab','saab 99gle'
285,'peugeot','peugeot 604sl'
286,'volkswagen','volkswagen scirocco'
287,'honda','honda accord lx'
288,'pontiac','pontiac lemans v6'
289,'mercury','mercury zephyr 6'
290,'ford','ford fairmont 4'
291,'amc','amc concord dl 6'
292,'dodge','dodge aspen 6'
293,'chevrolet','chevrolet caprice classic'
294,'ford','ford ltd landau'
295,'mercury','mercury grand marquis'
296,'dodge','dodge st. regis'
297,'buick','buick estate wagon (sw)'
298,'ford','ford country squire (sw)'
299,'chevrolet','chevrolet malibu classic (sw)'
300,'chrysler','chrysler lebaron town @ country (sw)'
301,'volkswagen','vw rabbit custom'
302,'mazda', 'mazda glc deluxe'
303,'dodge','dodge colt hatchback custom'
304,'amc','amc spirit dl'
305,'mercedes','mercedes benz 300d'
306,'cadillac','cadillac eldorado'
307,'peugeot','peugeot 504'
308,'oldsmobile','oldsmobile cutlass salon brougham'
309,'plymouth','plymouth horizon'
310,'plymouth','plymouth horizon tc3'
311,'datsun','datsun 210'
312,'fiat','fiat strada custom'
313,'buick','buick skylark limited'
314,'chevrolet','chevrolet citation'
315,'oldsmobile','oldsmobile omega brougham'
316,'pontiac','pontiac phoenix'
317,'volkswagen','vw rabbit'
318,'toyota','toyota corolla tercel'
319,'chevrolet','chevrolet chevette'
320,'datsun','datsun 310'
321,'chevrolet','chevrolet citation'
322,'ford','ford fairmont'
323,'amc','amc concord'
324,'dodge','dodge aspen'
325,'audi','audi 4000'
326,'toyota','toyota corona liftback'
327,'mazda','mazda 626'
328,'datsun','datsun 510 hatchback'
329,'toyota','toyota corolla'
330,'mazda','mazda glc'
331,'dodge','dodge colt'
332,'datsun','datsun 210'
333,'volkswagen','vw rabbit c (diesel)'
334,'volkswagen','vw dasher (diesel)'
335,'audi','audi 5000s (diesel)'
336,'mercedes-benz','mercedes-benz 240d'
337,'honda','honda civic 1500 gl'
338,'renault','renault lecar deluxe'
339,'subaru','subaru dl'
340, 'volkswagen','volkswagen rabbit'
341,'datsun','datsun 280-zx'
342,'mazda','mazda rx-7 gs'
343,'triumph','triumph tr7 coupe'
344,'ford','ford mustang cobra'
345,'honda','honda accord'
346,'plymouth','plymouth reliant'
347,'buick','buick skylark'
348,'dodge','dodge aries wagon (sw)'
349,'chevrolet','chevrolet citation'
350,'plymouth','plymouth reliant'
351,'toyota','toyota starlet'
352,'plymouth','plymouth champ'
353,'honda','honda civic 1300'
354,'subaru','subaru'
355,'datsun','datsun 210 mpg'
356,'toyota','toyota tercel'
357,'mazda','mazda glc 4'
358,'plymouth','plymouth horizon 4'
359,'ford','ford escort 4w'
360,'ford','ford escort 2h'
361,'volkswagen','volkswagen jetta'
362,'renault','renault 18i'
363,'honda','honda prelude'
364,'toyota','toyota corolla'
365,'datsun','datsun 200sx'
366,'mazda','mazda 626'
367,'peugeot','peugeot 505s turbo diesel'
368,'saab','saab 900s'
369,'volvo','volvo diesel'
370,'toyota','toyota cressida'
371,'datsun','datsun 810 maxima'
372,'buick','buick century'
373,'oldsmobile','oldsmobile cutlass ls'
374,'ford','ford granada gl'
375,'chrysler','chrysler lebaron salon'
376,'chevrolet','chevrolet cavalier'
377,'chevrolet','chevrolet cavalier wagon'
378,'chevrolet','chevrolet cavalier 2-door'
379,'pontiac','pontiac j2000 se hatchback'
380,'dodge','dodge aries se'
381,'pontiac','pontiac phoenix'
382,'ford','ford fairmont futura'
383,'amc','amc concord dl'
384,'volkswagen','volkswagen rabbit l'
385,'mazda','mazda glc custom l'
386,'mazda','mazda glc custom'
387,'plymouth','plymouth horizon miser'
388,'mercury','mercury lynx l'
389,'nissan','nissan stanza xe'
390,'honda','honda accord'
391,'toyota','toyota corolla'
392,'honda','honda civic'
393,'honda','honda civic (auto)'
394,'datsun','datsun 310 gx'
395,'buick','buick century limited'
396,'oldsmobile','oldsmobile cutlass ciera (diesel)'
397,'chrysler','chrysler lebaron medallion'
398,'ford','ford granada l'
399,'toyota','toyota celica gt'
400,'dodge','dodge charger 2.2'
401,'chevrolet','chevrolet camaro'
402,'ford','ford mustang gl'
403,'volkswagen','vw pickup'
404,'dodge','dodge rampage'
405,'ford','ford ranger'
406,'chevrolet','chevy s-10'
